序号,名称,音频地址,课件地址,视频地址,视频时长
1,建筑设计防火规范 第1节,http://downmp3.highso.com.cn/1907/FUSRCBHP/FUSRCBHP.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_shy_gfjj_jzsjfhgf01_1.pdf,http://bccdn.video.source.haixue.com/1907/FUSRCBHP/eedebb582dbf6b1d224c49b9c85e7918.mp4,136:32
2,建筑设计防火规范 第2节,http://downmp3.highso.com.cn/1907/OPUHMOVB/OPUHMOVB.mp3,http://down.highso.com.cn/pdf/2019/xf/02_yj_lzq_2019_01_xfks_shy_gfjj_jzsjfhgf02_1.pdf,http://bccdn.video.source.haixue.com/1907/OPUHMOVB/ad4c33694ae1c09accd00c94f345172b.mp4,75:27
3,建筑设计防火规范 第3节,http://downmp3.highso.com.cn/1907/RNNKJKVS/RNNKJKVS.mp3,http://down.highso.com.cn/pdf/2019/xf/03_yj_lzq_2019_01_xfks_shy_gfjj_jzsjfhgf03_1.pdf,http://bccdn.video.source.haixue.com/1907/RNNKJKVS/058dc1acc5c4f1d2ad151074c055c939.mp4,77:09
4,建筑设计防火规范 第4节,http://downmp3.highso.com.cn/1907/SAZXYPYC/SAZXYPYC.mp3,http://down.highso.com.cn/pdf/2019/xf/04_yj_lzq_2019_01_xfks_shy_gfjj_jzsjfhgf04_1.pdf,http://bccdn.video.source.haixue.com/1907/SAZXYPYC/a35a3ee7d7463021e834bbcf90c418ef.mp4,93:55
5,建筑设计防火规范 第5节,http://downmp3.highso.com.cn/1907/WZFRCOAS/WZFRCOAS.mp3,http://down.highso.com.cn/pdf/2019/xf/05_yj_lzq_2019_01_xfks_shy_gfjj_jzsjfhgf05_1.pdf,http://bccdn.video.source.haixue.com/1907/WZFRCOAS/ee755ccd3b6eccdbf4b8994561439ac4.mp4,72:01
6,建筑设计防火规范 第6节,http://downmp3.highso.com.cn/1907/XLNIBKFU/XLNIBKFU.mp3,http://down.highso.com.cn/pdf/2019/xf/06_yj_lzq_2019_01_xfks_shy_gfjj_jzsjfhgf06_1.pdf,http://bccdn.video.source.haixue.com/1907/XLNIBKFU/9452f37219af18cbae0ba943bbb00862.mp4,56:34
7,建筑设计防火规范 第7节,http://downmp3.highso.com.cn/1907/OFEZCLBX/OFEZCLBX.mp3,http://down.highso.com.cn/pdf/2019/xf/07_yj_lzq_2019_01_xfks_shy_gfjj_jzsjfhgf07_1.pdf,http://bccdn.video.source.haixue.com/1907/OFEZCLBX/41c7d38e8159d4a6211c90739effbb2d.mp4,40:47
8,建筑设计防火规范 第8节,http://downmp3.highso.com.cn/1907/HMQWPZQF/HMQWPZQF.mp3,http://down.highso.com.cn/pdf/2019/xf/08_yj_lzq_2019_01_xfks_shy_gfjj_jzsjfhgf08_1.pdf,http://bccdn.video.source.haixue.com/1907/HMQWPZQF/058bb071ebb9e3a0caf02171d33cb441.mp4,59:03
9,消防给水及消火栓系统技术规范 第1节,http://downmp3.highso.com.cn/1907/EPMFVQJM/EPMFVQJM.mp3,http://down.highso.com.cn/pdf/2019/xf/09_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf01_1.pdf,http://bccdn.video.source.haixue.com/1907/EPMFVQJM/7a734ecf014c54b716f50e58482083e6.mp4,32:12
10,消防给水及消火栓系统技术规范 第2节,http://downmp3.highso.com.cn/1907/LVYFYZDC/LVYFYZDC.mp3,http://down.highso.com.cn/pdf/2019/xf/10_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf02_1.pdf,http://bccdn.video.source.haixue.com/1907/LVYFYZDC/25a1e6dd9c9c3a8b83f78d9ff608058c.mp4,28:17
11,消防给水及消火栓系统技术规范 第3节,http://downmp3.highso.com.cn/1907/SOZUOMRE/SOZUOMRE.mp3,http://down.highso.com.cn/pdf/2019/xf/11_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf03_1.pdf,http://bccdn.video.source.haixue.com/1907/SOZUOMRE/290e0045f0b013a345bc3ab8b0ed2257.mp4,38:27
12,消防给水及消火栓系统技术规范 第4节,http://downmp3.highso.com.cn/1907/CHDVZGTA/CHDVZGTA.mp3,http://down.highso.com.cn/pdf/2019/xf/12_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf04_1.pdf,http://bccdn.video.source.haixue.com/1907/CHDVZGTA/44f0f04f91f405636444b137dd7064cc.mp4,67:30
13,消防给水及消火栓系统技术规范 第5节,http://downmp3.highso.com.cn/1907/BLUVUXXG/BLUVUXXG.mp3,http://down.highso.com.cn/pdf/2019/xf/13_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf05_1.pdf,http://bccdn.video.source.haixue.com/1907/BLUVUXXG/dd623381f8b650f105801a1f8a714dac.mp4,49:55
14,消防给水及消火栓系统技术规范 第6节,http://downmp3.highso.com.cn/1907/TEZUDMGC/TEZUDMGC.mp3,http://down.highso.com.cn/pdf/2019/xf/14_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf06_1.pdf,http://bccdn.video.source.haixue.com/1907/TEZUDMGC/2af45f5835e7934698a3387f8a5cd95b.mp4,36:35
15,消防给水及消火栓系统技术规范 第7节,http://downmp3.highso.com.cn/1907/UMPVIMEI/UMPVIMEI.mp3,http://down.highso.com.cn/pdf/2019/xf/15_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf07_1.pdf,http://bccdn.video.source.haixue.com/1907/UMPVIMEI/a600a533fa43caf2f44fbee0587a097e.mp4,43:55
16,消防给水及消火栓系统技术规范 第8节,http://downmp3.highso.com.cn/1907/KRDXDVZB/KRDXDVZB.mp3,http://down.highso.com.cn/pdf/2019/xf/16_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf08_1.pdf,http://bccdn.video.source.haixue.com/1907/KRDXDVZB/b775b396d8fa570eef542af3737ff5a6.mp4,53:12
17,消防给水及消火栓系统技术规范 第9节,http://downmp3.highso.com.cn/1907/ECTIZYUV/ECTIZYUV.mp3,http://down.highso.com.cn/pdf/2019/xf/17_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf09_1.pdf,http://bccdn.video.source.haixue.com/1907/ECTIZYUV/6bd2de6354ad9e23d9ae31de50c57e0f.mp4,55:29
18,消防给水及消火栓系统技术规范 第10节,http://downmp3.highso.com.cn/1907/ADAKQVDK/ADAKQVDK.mp3,http://down.highso.com.cn/pdf/2019/xf/18_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf10_1.pdf,http://bccdn.video.source.haixue.com/1907/ADAKQVDK/968e7d09ceadddc35da593b520fcf4f9.mp4,41:17
19,消防给水及消火栓系统技术规范 第11节,http://downmp3.highso.com.cn/1907/EMXOGITQ/EMXOGITQ.mp3,http://down.highso.com.cn/pdf/2019/xf/19_yj_lzq_2019_01_xfks_shy_gfjj_xfgsjxhsxtjsgf11_1.pdf,http://bccdn.video.source.haixue.com/1907/EMXOGITQ/8c3f02a5c80bd5c1ae544c8d30e5f611.mp4,32:45
20,自动喷水灭火系统设计规范 第1节,http://downmp3.highso.com.cn/1907/AYFMLWMP/AYFMLWMP.mp3,http://down.highso.com.cn/pdf/2019/xf/20_yj_lzq_2019_01_xfks_shy_gfjj_zdpsmhxtsjgf01_1.pdf,http://bccdn.video.source.haixue.com/1907/AYFMLWMP/7339db9c02871a8fc893d01d31cc49e9.mp4,46:49
21,自动喷水灭火系统设计规范 第2节,http://downmp3.highso.com.cn/1908/CRZUHVXS/CRZUHVXS.mp3,http://down.highso.com.cn/pdf/2019/xf/21_yj_lzq_2019_01_xfks_shy_gfjj_zdpsmhxtsjgf02_1.pdf,http://bccdn.video.source.haixue.com/1908/CRZUHVXS/cd61343fe13f9b8ab4c1a73e863ee2d0.mp4,53:18
22,自动喷水灭火系统设计规范 第3节,http://downmp3.highso.com.cn/1908/MFWVWWJP/MFWVWWJP.mp3,http://down.highso.com.cn/pdf/2019/xf/22_yj_lzq_2019_01_xfks_shy_gfjj_zdpsmhxtsjgf03_1.pdf,http://bccdn.video.source.haixue.com/1908/MFWVWWJP/7fd8b7fa1fb24c77224fa3bccd46d53c.mp4,32:01
23,自动喷水灭火系统设计规范 第4节,http://downmp3.highso.com.cn/1908/IHFTHBLR/IHFTHBLR.mp3,http://down.highso.com.cn/pdf/2019/xf/23_yj_lzq_2019_01_xfks_shy_gfjj_zdpsmhxtsjgf04_1.pdf,http://bccdn.video.source.haixue.com/1908/IHFTHBLR/4a7c3e89883d22f167404795b18f0032.mp4,51:12
