序号,名称,音频地址,课件地址,视频地址,视频时长
1,第一篇 第一章 燃烧 第1、2节,http://downmp3.highso.com.cn/1908/JDIRCUMY/JDIRCUMY.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjssw_jcjj_dypdyzrs01_1.pdf,http://bccdn.video.source.haixue.com/1908/JDIRCUMY/5d967fe4d43d899ed2571dd21777b34e.mp4,68:25
2,第一篇 第一章 燃烧 第3节 第二章 火灾 第1、2节,http://downmp3.highso.com.cn/1908/OVYJQGZF/OVYJQGZF.mp3,http://down.highso.com.cn/pdf/2019/xf/02_yj_lzq_2019_01_xfks_xfjssw_jcjj_dypdyzrs02_1.pdf,http://bccdn.video.source.haixue.com/1908/OVYJQGZF/7ac932a573a42a8c35f86ee690cdcb74.mp4,33:59
3,第一篇 第二章 火灾 第3节（1）,http://downmp3.highso.com.cn/1908/ENUDTNKX/ENUDTNKX.mp3,http://down.highso.com.cn/pdf/2019/xf/03_yj_lzq_2019_01_xfks_xfjssw_jcjj_dypdezhz03_1.pdf,http://bccdn.video.source.haixue.com/1908/ENUDTNKX/1d060ccf30dfb9052210c5bf3b92e78c.mp4,43:06
4,第一篇 第二章 火灾 第3节（2）、第4节,http://downmp3.highso.com.cn/1908/XSGLEPBU/XSGLEPBU.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjssw_jcjj_dypdez04_1.pdf,http://bccdn.video.source.haixue.com/1908/XSGLEPBU/a17f205be12314486b23f91d68975cc6.mp4,21:03
5,第一篇 第三章 爆炸,http://downmp3.highso.com.cn/1908/UTHNJWTI/UTHNJWTI.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjssw_jcjj_dypdsz05_1.pdf,http://bccdn.video.source.haixue.com/1908/UTHNJWTI/db519ba878dc267331d19c2af8232a00.mp4,33:40
6,第一篇 第四章 易燃易爆危险品（1）第1、2节,http://downmp3.highso.com.cn/1908/PZHNRMIY/PZHNRMIY.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjssw_jcjj_dypdsz06_1.pdf,http://bccdn.video.source.haixue.com/1908/PZHNRMIY/afee1ed59fed0efe248c6c4657b4c518.mp4,12:55
7,第一篇 第四章 易燃易爆危险品（2）第3、4、5节,http://downmp3.highso.com.cn/1908/EMDUUBZL/EMDUUBZL.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjssw_jcjj_dypdezhz07_1.pdf,http://bccdn.video.source.haixue.com/1908/EMDUUBZL/63ba56f6d18bc7e5fe22b52b627c78d2.mp4,26:10
8,第二篇 建筑防火 第一章 概述、第二章 生产和储存物品的火灾危险性分类,http://downmp3.highso.com.cn/1908/DJVQYQTP/DJVQYQTP.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d2p_d1-2z_gs_schccwpdhzwxxfl_1.pdf,http://bccdn.video.source.haixue.com/1908/DJVQYQTP/9391bb41324f29ac61629dc7d4166459.mp4,88:32
9,第二篇 建筑防火 第三章 建筑分类和耐火等级 第1、2、3节,http://downmp3.highso.com.cn/1908/WXJFMCEO/WXJFMCEO.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d2p_d3z_jzflynhdj_1-3_1.pdf,http://bccdn.video.source.haixue.com/1908/WXJFMCEO/ad5e55c10d3c683d32d7e7ba56e482c6.mp4,51:14
10,第二篇 建筑防火 第三章 建筑分类和耐火等级 第4节,http://downmp3.highso.com.cn/1908/IREZANXL/IREZANXL.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d2p_d3z_jzflynhdj_4_1.pdf,http://bccdn.video.source.haixue.com/1908/IREZANXL/13bc3ee65667228d4c8593a63623a48f.mp4,53:08
11,第二篇 建筑防火 第四章 总平面布局和平面布置 第1、2节,http://downmp3.highso.com.cn/1908/YWCGJDLJ/YWCGJDLJ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d2p_d4z_zpmbjhpmbz_1-2_1.pdf,http://bccdn.video.source.haixue.com/1908/YWCGJDLJ/9a4a8a037619b6eba36d73d323256ef6.mp4,47:53
12,第二篇 建筑防火 第四章 总平面布局和平面布置 第3节,http://downmp3.highso.com.cn/1908/EKLLBFRT/EKLLBFRT.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d2p_d4z_zpmbjhpmbz_3_1.pdf,http://bccdn.video.source.haixue.com/1908/EKLLBFRT/e3c2c62b1b3d1494d6568c22b3b1db10.mp4,59:26
13,第二篇 建筑防火 第五章 防火防烟分区与分隔 第1、2节,http://downmp3.highso.com.cn/1908/XXECHNMH/XXECHNMH.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d2p_d5z_fhfyfqyfg_1-2_1.pdf,http://bccdn.video.source.haixue.com/1908/XXECHNMH/dbd932a4d95fc8e04798ebd998c4eb12.mp4,69:07
14,第二篇 建筑防火 第五章 防火防烟分区与分隔 第3、4节,http://downmp3.highso.com.cn/1908/IDBVSHRQ/IDBVSHRQ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d2p_d5z_fhfyfqyfg_3-4_1.pdf,http://bccdn.video.source.haixue.com/1908/IDBVSHRQ/cfec0e4f44770fda44256df9eb71585b.mp4,46:01
15,第二篇 建筑防火 第六章 安全疏散 第1节,http://downmp3.highso.com.cn/1908/COUGBZTE/COUGBZTE.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d2p_d6z_aqss_1_1.pdf,http://bccdn.video.source.haixue.com/1908/COUGBZTE/0a909e94ac1323acc924f8ce78483851.mp4,67:22
