序号,名称,音频地址,课件地址,视频地址,视频时长
1,第一篇 第一章 消防法及相关法律法规 第1节,http://downmp3.highso.com.cn/1908/AJSSRRIC/AJSSRRIC.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjaqjszhnl_jcjj_dypdiz01_1.pdf,http://bccdn.video.source.haixue.com/1908/AJSSRRIC/d67d42608cc923260392fdc118292bcc.mp4,29:43
2,第一篇 第一章 消防法及相关法律法规 第3节,http://downmp3.highso.com.cn/1908/AIXCIYAN/AIXCIYAN.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjaqjszhnl_jcjj_dypdiz03_1.pdf,http://bccdn.video.source.haixue.com/1908/AIXCIYAN/84aa861158c4c06102e377a7b2482f3c.mp4,33:53
3,第一篇 第一章 消防法及相关法律法规 第2节,http://downmp3.highso.com.cn/1908/VBUXATRX/VBUXATRX.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjaqjszhnl_jcjj_dypdiz02_1.pdf,http://bccdn.video.source.haixue.com/1908/VBUXATRX/da899cfd0353bb844569206a27290b5b.mp4,15:25
4,第一篇 第一章 消防法及相关法律法规 第4节、第二章 注册消防工程师职业道德,http://downmp3.highso.com.cn/1908/IOPRNFCL/IOPRNFCL.mp3,http://down.highso.com.cn/pdf/2019/xf/01_yj_lzq_2019_01_xfks_xfjaqjszhnl_jcjj_dypdiz04_1.pdf,http://bccdn.video.source.haixue.com/1908/IOPRNFCL/ac8c6ae9ea1a472a1a754e5aa2c2ca64.mp4,23:09
5,第二篇 建筑防火检查 第一章 建筑分类和耐火等级检查,http://downmp3.highso.com.cn/1908/QGQEXCKO/QGQEXCKO.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d2p_d1z_jsflhnhdjjc_1.pdf,http://bccdn.video.source.haixue.com/1908/QGQEXCKO/630910d4e562517acb271a4a607bbc53.mp4,47:29
6,第二篇 建筑防火检查 第二章 总平面布局与平面布置检查 第1节,http://downmp3.highso.com.cn/1908/EDUTZEIR/EDUTZEIR.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d2p_d2z_zpmbjypmbzjc_1_1.pdf,http://bccdn.video.source.haixue.com/1908/EDUTZEIR/bd7ccddce0f164b697aa9a5967c40049.mp4,32:40
7,第二篇 建筑防火检查 第二章 总平面布局与平面布置检查 第2、3节,http://downmp3.highso.com.cn/1908/BDBEKDUO/BDBEKDUO.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d2p_d2z_zpmbjypmbzjc_2-3_1.pdf,http://bccdn.video.source.haixue.com/1908/BDBEKDUO/275dc7dc65c68459323dd5ce406e80ad.mp4,65:22
8,第二篇 建筑防火检查 第三章 防火防烟分区检查 第1、2节,http://downmp3.highso.com.cn/1908/VCSAETKF/VCSAETKF.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d2p_d3z_fhfyfqjc_1-2_1.pdf,http://bccdn.video.source.haixue.com/1908/VCSAETKF/661721c20bb48324cf71932fe6dd79e7.mp4,29:43
9,第二篇 建筑防火检查 第三章 防火防烟分区检查 第3节,http://downmp3.highso.com.cn/1908/TBOHUDZS/TBOHUDZS.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d2p_d3z_fhfyfqjc_3_1_1.pdf,http://bccdn.video.source.haixue.com/1908/TBOHUDZS/3721f65dbc2b68a657ac39bb148bda16.mp4,24:45
10,第二篇 建筑防火检查 第四章 安全疏散设施检查 第1、2节,http://downmp3.highso.com.cn/1908/DUKERKIX/DUKERKIX.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d2p_d4z_aqssssjc_1-2_1.pdf,http://bccdn.video.source.haixue.com/1908/DUKERKIX/0c425f2e5ce4d16cfb7154917260389c.mp4,39:59
