序号,名称,音频地址,课件地址,视频地址,视频时长
1,第一篇 建筑防火案例分析 案例1 木器厂房防火案例分析,http://downmp3.highso.com.cn/1909/YUBCIPFT/YUBCIPFT.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_1.pdf,http://bccdn.video.source.haixue.com/1909/YUBCIPFT/e5484c6fd2e3847dda5e404e882e341b.mp4,86:57
2,第一篇 建筑防火案例分析 案例2 毛皮制品仓库防火案例分析,http://downmp3.highso.com.cn/1909/KREOINXS/KREOINXS.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_2.pdf,http://bccdn.video.source.haixue.com/1909/KREOINXS/0413590bdab1a60255163d322c61ba06.mp4,21:12
3,第一篇 建筑防火案例分析 案例3 歌舞厅防火案例分析,http://downmp3.highso.com.cn/1909/FXQMUTUC/FXQMUTUC.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_3.pdf,http://bccdn.video.source.haixue.com/1909/FXQMUTUC/2efeec8497901d54173b686ece86ced7.mp4,65:26
4,第一篇 建筑防火案例分析 案例4 购物中心防火案例分析,http://downmp3.highso.com.cn/1909/ECNNALVM/ECNNALVM.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_4.pdf,http://bccdn.video.source.haixue.com/1909/ECNNALVM/eb8751ede06a02547b9ca0bc65bb5b2c.mp4,61:51
5,第一篇 建筑防火案例分析 案例7 高层宾馆防火案例分析,http://downmp3.highso.com.cn/1909/CCMFIYCF/CCMFIYCF.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_7.pdf,http://bccdn.video.source.haixue.com/1909/CCMFIYCF/ed5ae18d8d4321243284a5c487a4b1d1.mp4,31:26
6,第一篇 建筑防火案例分析 案例8 超高层办公楼防火案例分析,http://downmp3.highso.com.cn/1909/CMNXQHOH/CMNXQHOH.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_8.pdf,http://bccdn.video.source.haixue.com/1909/CMNXQHOH/d6b5e0183db5934a886efa3c082fe6ed.mp4,28:36
7,第一篇 建筑防火案例分析 案例9 高层病房楼防火案例分析,http://downmp3.highso.com.cn/1909/ZLOCJLAM/ZLOCJLAM.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_9.pdf,http://bccdn.video.source.haixue.com/1909/ZLOCJLAM/f1a8273cd88af28ef47c1a934a6d1759.mp4,18:43
8,第一篇 建筑防火案例分析 案例10 设置商业服务网点的高层住宅防火案例分析,http://downmp3.highso.com.cn/1909/ZIXIWTLL/ZIXIWTLL.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_10.pdf,http://bccdn.video.source.haixue.com/1909/ZIXIWTLL/abd61e15e648b580c1c282db98685cb6.mp4,22:53
9,第一篇 建筑防火案例分析 案例11 高层综合楼防火案例分析,http://downmp3.highso.com.cn/1909/YJBFJZSX/YJBFJZSX.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_11.pdf,http://bccdn.video.source.haixue.com/1909/YJBFJZSX/25c9d508a9a533978bde6344ca0f479c.mp4,45:10
10,第一篇 建筑防火案例分析 案例15 甲醇合成厂房防火案例分析,http://downmp3.highso.com.cn/1909/ISOPURCC/ISOPURCC.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqalfx_jcjj_d1p_15.pdf,http://bccdn.video.source.haixue.com/1909/ISOPURCC/133e2355953b8058a096314b0c699a7a.mp4,15:22
